match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5160170028,red,92,333002,77,47170,91,692108,901,71471,526,731689,127,3049465,427,211218,777,88387,498,134245,43,1490812
NA1_5160114739,blue,887,384411,64,146005,136,496604,42,27845,902,146701,266,125838,163,231820,14,5741,147,42561,526,166477
NA1_5159870769,red,799,16456,9,49701,30,60880,18,107518,555,126738,82,105358,64,46664,134,537309,523,350809,40,311323
NA1_5159833908,blue,57,49751,91,1241972,34,2948515,22,163191,432,114423,799,16456,30,139037,103,50523,119,3928968,111,60465
NA1_5159804385,blue,24,120176,517,93950,39,182118,42,108594,412,1431859,41,585773,427,211218,84,32898,498,86197,526,124326
NA1_5159766679,red,143,5280435,121,44183,136,496604,22,123776,516,145615,92,406600,234,183311,7,58222,51,3603,147,237239
NA1_5159742597,red,24,1164041,107,367790,90,75821,22,123776,16,270876,126,107292,121,454784,89,135654,42,108594,893,39790
NA1_5159706880,blue,6,1043741,9,4373282,222,560086,103,14767454,12,101030,79,61137,2,149028,268,1372666,157,31686,57,81890
NA1_5159668971,blue,893,39028,107,367790,136,496604,81,168396,432,232377,240,4023497,9,4373282,157,468564,202,65500,89,1437
NA1_5159173946,red,897,140454,76,96315,24,9408,202,383209,37,224946,92,310972,427,211218,166,50789,51,34973,43,883305
NA1_5156798203,blue,266,492922,427,211218,246,562644,50,2980501,526,20958,887,164871,154,3267708,777,2140,42,79016,12,19287
NA1_5156750190,red,92,406600,799,1110,711,685186,42,153715,117,22466,41,4878582,120,178704,26,207264,81,724092,60,23369
NA1_5156709514,blue,897,117566,234,150999,90,75821,119,222462,412,17815,41,4878582,121,8932,8,13515,51,1583644,117,22466
NA1_5156661964,blue,24,853314,245,34494,518,2055268,42,108198,111,53864,897,8132,163,107249,777,114486,51,208196,57,49751
