match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
EUW1_7191972107,blue,897,131222,75,1189993,799,24014,115,128648,526,164669,126,1458736,104,445513,31,92357,145,136087,223,66036
EUW1_7191362215,blue,150,61154,234,272149,517,208619,42,46939,902,48947,114,899928,200,251157,103,5627,51,43641,117,2862240
EUW1_7189611451,blue,164,189993,56,115557,115,3284,7,459793,80,75320,893,30643,711,2860,24,20486,222,347421,99,2981878
EUW1_7189547404,blue,777,320138,104,91625,112,35438,523,1311772,12,95764,24,827263,106,38613,69,9075,202,453476,526,236515
EUW1_7188766021,red,114,874809,120,239496,31,92357,134,17232,432,2509458,163,2761291,104,104187,157,271327,498,33217,497,182056
EUW1_7188662097,red,122,776824,79,19558,81,2602843,157,182149,497,182056,897,124329,163,188118,84,73592,51,43641,518,18097
EUW1_7188593709,blue,43,58483,254,69492,39,16637,222,218453,412,1444491,85,263304,234,154800,555,18306,84,47634,42,116419
EUW1_7186195490,blue,24,241492,72,115093,134,138807,15,71738,43,134926,92,1928365,143,38403,777,137138,110,254028,37,102934
EUW1_7186120349,blue,14,45602,234,272149,61,395572,51,56349,201,24832,901,58594,32,20161,777,1350356,42,64816,111,90313
EUW1_7186063658,blue,92,3114693,254,69492,163,582999,22,185253,223,29238,79,95467,62,81148,4,124216,429,867335,50,8065
EUW1_7183926505,blue,254,69492,79,539973,74,2244380,81,185915,37,3039370,54,3236,799,14019,39,225931,222,185840,497,176811
EUW1_7183896858,blue,79,95467,234,272149,517,176062,498,117031,35,6022700,897,127904,254,34860,103,216262,145,112301,16,227436
EUW1_7183591251,red,13,15062,234,272149,133,1504459,360,184883,117,2862240,799,24568,104,87346,3,28118,96,51065,201,39001
EUW1_7183539600,blue,897,184753,200,245878,31,92357,42,49391,147,100755,126,163542,60,76909,157,537132,81,53969,12,387
EUW1_7183412597,red,221,84875,104,802357,517,903579,42,54420,142,1875637,897,25876,234,272149,893,100859,222,317272,526,191411
EUW1_7183310092,red,114,899928,234,688005,134,84316,498,156203,201,61549,222,1731,32,9947,84,134347,42,203899,412,719586
EUW1_7183222985,blue,8,1576298,72,101574,69,1878974,222,458997,555,23754,266,140266,203,203209,99,10271,42,112097,111,176550
EUW1_7183153137,red,114,874809,36,6754,61,553,222,206855,412,314124,887,168042,72,151056,517,903579,51,23751,201,39001
EUW1_7183018968,red,150,330038,63,93386,23,3896,22,60432,526,80530,39,22057,121,1794058,711,507966,51,87130,45,2539480
EUW1_7182984563,red,42,141421,32,13634,893,7194,236,94785,267,124653,54,9759,234,272149,55,1182084,498,156203,526,133445
EUW1_7182930603,red,897,80601,104,376663,517,499325,202,4382,518,20884,777,14738,143,38403,799,24014,145,100114,201,133483
EUW1_7182894843,blue,122,860148,234,272149,55,1182084,115,426869,45,2539480,84,15177,56,507275,61,14985,202,64407,101,85972
EUW1_7182851740,blue,50,21870,121,266878,799,24045,22,245292,99,1161798,58,257596,254,69492,910,849779,15,7647,117,318462
EUW1_7182773616,red,122,860148,91,544043,103,85333,42,54420,235,24937,85,71812,234,272149,238,391637,134,241182,117,650448
EUW1_7182730341,blue,122,216727,72,101574,7,3683,110,57376,497,561715,777,377835,799,1154,238,38415,115,127705,517,61780
EUW1_7182706077,blue,10,108524,234,417732,516,116316,22,260923,555,365371,75,129711,79,9502,157,1635706,51,6885,99,2981878
EUW1_7181593583,blue,106,329099,30,199593,246,1250947,42,111889,111,358513,58,23758,254,69492,103,98482,51,177258,201,23307
EUW1_7181536696,red,58,37372,234,272149,50,23469,22,198165,497,841335,150,168656,254,156498,45,2539480,81,185915,89,32149
EUW1_7181384307,blue,897,70804,234,272149,61,4866,42,111889,53,346649,164,189993,200,245878,7,375937,51,84421,223,9982
EUW1_7180471099,blue,164,189993,234,272149,3,28118,114,2265604,555,913608,893,46829,203,70803,221,42351,42,75958,526,69089
EUW1_7180387837,blue,114,899928,59,54024,84,54857,22,147490,117,393243,58,243014,876,924307,777,19376,147,198336,432,28058
EUW1_7180212226,blue,85,20085,887,41948,23,3896,51,63128,43,182777,39,22057,77,140684,777,217216,81,138185,555,239157
EUW1_7179528232,blue,266,760580,62,8767,31,92357,145,202468,12,504217,13,6714,9,12804,75,702713,42,111889,111,673181
EUW1_7179440871,blue,150,107082,876,924307,517,119599,202,300943,555,20317,114,899928,131,35366,777,158587,22,860,74,1666
EUW1_7179393641,red,14,26908,62,24325,61,38943,119,427031,111,49396,24,277493,254,33423,103,191860,51,2471691,201,61549
EUW1_7179344252,red,24,20886,234,272149,81,185915,103,64323,888,103066,114,899928,131,384637,42,5030,15,20857,497,741684
EUW1_7179045992,red,68,224597,5,18098,43,58483,42,84004,12,57167,266,420761,234,272149,517,499325,157,226306,111,118804
EUW1_7178992836,red,58,186238,163,550715,517,363242,42,16928,111,4384,897,327214,106,39834,134,241182,39,225931,518,272734
EUW1_7178914274,red,58,153179,76,154267,3,91769,42,21415,526,676511,24,277493,254,69492,134,174928,51,14705,888,143669
EUW1_7178878756,blue,150,87344,106,775144,134,188615,81,275079,432,388946,54,69838,143,38403,42,88063,18,27606,497,159175
EUW1_7178199965,blue,150,31454,254,69492,517,199885,21,119141,497,3079,39,346184,59,1068622,103,140587,22,122221,902,10565
EUW1_7178036656,red,164,476358,517,26086,777,212179,22,118051,888,152439,68,224597,254,69492,7,87433,202,230605,526,23544
EUW1_7177960095,red,68,133106,154,1685489,254,156498,42,62163,497,399254,79,203801,163,188118,238,1663139,22,208339,235,83874
EUW1_7177723827,red,516,621061,104,91625,134,126790,81,255533,497,53829,68,30511,254,44681,61,395468,202,4382,518,170154
EUW1_7177691189,red,40,3657,64,462988,103,184763,81,575340,497,55062,39,12434,79,9502,61,395468,22,1431847,117,129827
EUW1_7177359356,red,92,1254102,254,24582,711,744345,81,40689,497,58320,86,65558,72,61195,222,10469,10,664014,223,648094
EUW1_7177290095,red,54,26707,234,178218,777,881423,147,10728,526,7682,897,57245,24,20486,13,257680,110,233607,12,55798
EUW1_7176935469,blue,887,122931,104,259092,39,225931,202,46906,3,5207,24,125439,31,92357,5,21641,157,229414,99,1161798
EUW1_7176813076,red,897,16685,62,472827,7,424636,202,249581,89,233067,150,34808,143,38403,103,94637,119,240252,78,4624
EUW1_7176755489,blue,893,46829,254,69492,517,119599,22,56348,201,162697,164,189993,131,367018,84,278557,222,260858,555,21055
EUW1_7176718435,red,893,42639,887,41948,42,93568,202,16382,40,1032690,164,189993,60,166326,166,7565,81,15183,53,226186
EUW1_7176549653,blue,122,776824,254,69492,517,89210,42,24225,26,1490871,24,241492,56,109026,103,140587,50,4319,235,165994
EUW1_7211651634,red,10,664014,64,91256,86,300107,147,88214,526,68110,150,20824,56,48482,246,1252807,42,70431,555,1317947
EUW1_7211511470,red,10,664014,234,333243,711,149234,96,173128,235,42167,240,232534,203,867696,246,1252807,910,24050,40,104224
EUW1_7211472934,red,893,41104,98,7483,166,196869,910,24050,526,52811,240,232534,11,1331230,7,375937,115,103968,57,26883
EUW1_7210082282,blue,14,15373,25,44212,777,212179,222,257958,432,41065,79,164907,72,204418,157,220090,51,2471691,267,454107
EUW1_7210004928,blue,36,5179,64,88402,893,59121,157,24470,12,208399,79,97726,56,48482,61,402861,42,43070,201,32840
EUW1_7209946643,red,157,177525,36,4858,517,363242,42,121798,154,113988,150,114506,104,48619,268,148318,202,47165,432,40360
EUW1_7209887136,blue,58,370233,56,48482,517,363242,115,41090,37,3039370,36,28997,91,317672,103,184763,22,901136,53,115655
EUW1_7208302696,blue,7,343893,234,264513,43,58483,222,99819,117,802132,79,97726,154,642097,893,26825,236,434158,267,454107
EUW1_7206990693,blue,887,70889,799,9418,910,56684,42,339048,111,103174,266,615849,203,429621,7,459793,81,457473,223,5985
EUW1_7206938144,blue,897,62634,254,57842,777,1646901,222,494615,201,219163,67,798707,32,572,126,216082,119,196045,111,384716
EUW1_7206884829,red,57,38777,72,257256,517,337075,145,43572,432,2509458,81,371408,427,1145389,84,206687,266,72521,12,87750
EUW1_7206814840,red,122,346507,62,81148,157,360461,163,169099,78,17687,875,219220,121,354012,61,395468,115,35039,432,352253
EUW1_7205458747,red,79,239655,62,81148,157,87485,145,75415,526,69089,266,6335,25,1286305,777,212179,51,898255,78,68285
EUW1_7205372659,blue,79,239655,11,1331230,777,212179,96,173128,432,267616,106,50477,56,33978,134,659915,202,48961,497,517855
EUW1_7205314277,blue,799,14696,154,1260179,777,46352,50,54465,497,333244,897,52854,103,19709,62,206591,42,140078,37,17439
EUW1_7203901141,blue,50,12977,107,1914780,893,67199,157,360461,526,256560,897,127904,143,133106,901,58594,145,748240,89,10401
EUW1_7203868576,blue,50,12977,154,642097,517,457319,157,360461,555,204803,84,312057,59,421789,58,475591,22,9982,147,50497
EUW1_7203306592,red,799,26458,887,12935,134,333887,22,122221,555,402723,85,3557,30,71035,51,164798,166,316971,412,1444491
EUW1_7203192344,blue,58,113227,62,206591,163,2761291,96,173128,99,2981878,42,232168,887,43649,7,459793,51,2471691,267,454107
EUW1_7202975454,red,39,230590,62,178117,268,199536,222,297035,235,58826,799,13139,36,482252,910,29312,42,70431,555,163782
EUW1_7202911522,blue,39,230590,254,38746,517,83804,119,264731,78,73088,893,57864,62,22711,3,91769,110,502325,888,3301
EUW1_7202447782,blue,799,60401,254,41445,517,84384,81,138231,78,134628,24,827263,555,54450,103,181387,119,3615,11,1331230
EUW1_7202417736,red,893,68984,143,133106,18,58398,777,212179,267,1706921,24,827263,77,140684,81,185915,134,317555,79,49173
EUW1_7201024645,blue,79,97726,72,58056,517,51338,523,215853,412,902807,897,19096,254,20093,134,28663,222,185840,555,176010
EUW1_7200965646,blue,893,16916,254,277508,3,5194,42,40988,526,68110,777,44130,104,308208,69,171511,115,21952,111,614112
EUW1_7200946910,red,799,18701,143,133106,18,58398,115,0,497,53829,164,1110967,36,20288,91,20564,22,44625,117,316792
EUW1_7199391279,red,799,26458,30,71035,777,1350356,29,214979,235,391592,79,97726,104,493179,61,38249,22,162515,117,318826
EUW1_7199337904,blue,420,134990,254,277508,84,206687,51,51181,412,399881,897,214388,59,50240,517,363242,110,417577,223,4320
EUW1_7199285408,red,777,1646901,5,267810,34,668357,202,87776,43,116329,58,177416,60,90277,51,162515,134,333887,432,32664
EUW1_7197764955,red,78,109269,5,185893,517,288800,22,30304,117,650448,92,381312,526,5550,64,26919,30,2473639,61,199786
EUW1_7197700292,blue,799,23111,77,140684,777,212179,22,30304,117,102857,24,827263,25,1286305,245,11117061,81,4436,201,10519
EUW1_7197367045,blue,57,38777,9,310412,777,212179,81,55805,40,33186,58,201086,106,101660,154,1685489,902,3234,42,180033
EUW1_7197337785,blue,8,22255,9,310412,58,3151,119,354770,53,17982,126,66329,5,130906,134,333887,147,84818,40,1489185
EUW1_7197228941,blue,897,88992,5,115734,517,363242,22,15568,161,2428,901,14012,64,308582,34,115782,202,47165,117,2862240
EUW1_7197182184,blue,106,17637,104,104187,7,459793,29,214979,117,2862240,64,63596,102,44017,13,169152,81,444901,555,163782
EUW1_7197086816,red,59,5403,78,21047,517,363242,81,444901,432,451839,799,72387,131,140600,777,330246,42,54420,412,941259
EUW1_7197009821,blue,64,63596,104,376663,103,152209,42,62163,267,84241,164,222771,120,734688,134,333887,81,167582,432,451839
