match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
KR_7364058840,blue,80,53600,76,124516,901,55413,429,247249,888,225900,79,23718,234,115258,893,52236,42,118387,111,3008
KR_7363938102,red,897,384061,113,36447,893,27370,42,63959,57,56572,82,36569,163,87552,901,55413,51,141438,526,179545
KR_7363880561,red,39,105922,104,507755,910,97815,51,161114,57,25244,24,15511,143,32194,42,115235,202,519110,555,191872
KR_7363777414,red,897,285655,203,310109,893,79533,202,90306,526,179545,24,252677,104,262767,50,28193,96,72453,12,80026
KR_7363751962,blue,799,21159,234,126305,517,592067,202,90306,526,179545,150,346663,143,59318,157,168521,222,33276,111,326897
KR_7363732309,red,77,91799,64,167612,7,246930,51,264192,99,67742,110,21483,104,197648,163,198244,22,162060,201,56334
KR_7363513142,blue,893,40058,76,143585,42,115235,22,78656,154,3811744,68,292168,104,429835,517,246676,202,175210,518,28144
KR_7363492458,blue,777,79118,64,107668,910,130709,22,73908,888,20807,57,38477,104,182002,50,28193,29,154874,117,519768
KR_7363463886,blue,897,37183,64,109380,134,149559,115,12316,497,206548,150,259088,104,507755,61,130085,22,189555,12,32187
KR_7363444164,red,78,26453,154,2595033,43,10158,222,33276,799,60772,58,131605,76,645348,91,196345,901,11445,111,221309
KR_7363052838,red,56,2464185,203,406103,893,31969,96,17381,43,22474,799,3293,72,82474,84,26889,15,3197,555,190152
KR_7362997460,blue,114,427906,234,442827,103,280149,222,33276,111,341506,56,2464185,64,75506,7,13528,42,93641,526,397846
KR_7362911694,blue,56,2464185,64,137900,777,154621,96,19637,497,106407,50,4998,234,13114,84,109655,42,43195,555,223075
KR_7362661054,blue,24,7426,76,98775,42,115235,901,31138,78,23092,36,45176,104,192773,7,323633,202,89082,526,53153
KR_7362596947,red,150,57929,203,198117,3,32359,96,44955,497,409481,39,15930,143,87088,901,55413,67,36750,223,3217805
KR_7362571072,red,6,79485,111,8721,103,182162,145,811493,62,94069,68,196240,64,559003,163,35640,498,96251,497,262881
KR_7362531483,blue,150,57929,234,93842,55,120423,910,58886,89,150923,24,310614,64,388187,163,353187,96,3056,555,232670
KR_7362332795,blue,41,898327,104,87390,910,149412,42,157058,78,45664,157,26971,80,31454,61,198695,221,193982,497,71184
KR_7362319577,blue,897,1002893,246,393567,50,28193,96,34235,12,168090,150,309933,876,1004,777,554548,429,379237,888,154633
KR_7362250595,red,80,425041,154,417245,84,213959,222,221268,432,1078421,92,179449,876,15598,901,55413,202,177384,147,24563
KR_7360236765,red,24,59448,234,440001,711,891421,145,379033,78,69587,92,722052,141,215391,910,149412,42,24526,497,516492
KR_7360095272,blue,3,26270,30,88950,42,63959,15,54239,518,63023,36,76217,234,239352,81,71443,96,44955,12,160377
KR_7359996800,red,36,541887,234,277316,61,3256,222,33276,526,1783,13,231776,421,188727,3,113332,145,341846,518,555063
KR_7359885191,red,110,7071,234,277316,910,54333,202,42138,432,216928,68,169837,64,21092,101,39675,22,73908,555,77996
KR_7359804229,blue,777,79118,143,87088,58,65562,523,407068,111,365576,24,133035,76,393980,157,602636,222,33276,89,31968
KR_7358554064,blue,110,36336,200,679483,103,182162,221,350643,154,587925,23,184266,64,936205,61,64484,202,67257,518,20211
KR_7358417907,red,68,86291,234,5914,777,126611,110,205821,50,4744,14,10702,60,63090,901,55413,42,114383,526,191101
KR_7358354885,blue,50,4998,106,774723,42,156125,22,154819,78,70783,897,92090,120,341685,517,207392,523,150910,518,47031
KR_7358261852,blue,897,196055,234,175974,142,167413,110,73472,57,33730,24,237490,104,182533,777,297229,96,40824,497,356396
KR_7358192868,blue,68,292168,234,442827,163,163336,429,152121,111,295920,150,136644,76,1039322,42,115235,64,65414,235,2200391
KR_7358146335,red,114,427906,234,440001,84,109655,18,115375,17,31704,126,188807,56,63470,142,1439918,145,379033,526,132577
KR_7357305775,red,893,41355,62,44245,101,39675,22,188480,555,48740,36,76217,234,442827,61,297836,429,7611,888,46746
KR_7357082585,red,69,3873550,234,223664,893,66084,145,148328,78,34894,68,84121,143,86043,42,115235,81,34742,164,3459379
KR_7356789454,blue,56,2464185,104,182533,50,315209,51,228836,201,27915,799,34839,234,221653,55,120423,901,802979,497,420829
KR_7356204641,blue,893,129730,163,217648,777,604038,21,31748,526,3159,3,101252,234,175974,24,25769,96,125170,101,329942
KR_7356174669,red,897,271124,104,230275,910,149412,202,34605,432,144659,114,66904,64,137900,142,1336733,81,304929,526,228904
KR_7355682231,blue,72,308984,30,39676,777,146266,222,33276,12,17366,150,57929,143,82586,42,6651,81,430935,526,171595
KR_7355614121,blue,61,1389920,104,262767,79,14908,81,186207,432,54139,84,595608,234,1380887,777,166111,96,6201,497,148583
KR_7355097130,blue,516,83817,76,200328,238,635991,222,33276,78,66190,150,55013,234,22738,127,14954,145,318984,526,201828
KR_7355072868,blue,897,178404,234,1380887,893,46841,22,81897,235,46271,777,150053,104,281911,517,207392,145,49861,111,141422
KR_7355054797,red,24,195278,234,440001,517,207392,81,513059,12,13102,897,153605,876,212630,238,635991,51,64534,99,28412
KR_7354607891,red,893,29592,203,175490,236,91582,96,17381,111,588489,24,25769,104,351596,517,800995,145,619641,497,206548
KR_7354535440,blue,24,199038,234,442827,4,33447,222,33276,111,263447,84,595608,104,370227,3,6521,51,556850,201,133423
KR_7354496358,blue,67,16113,203,310109,84,105957,81,34742,89,202083,897,94578,104,351596,103,182162,202,18825,517,800995
KR_7354459124,red,84,235782,42,8061,79,9947,221,40224,12,415015,517,23420,104,26322,61,32403,222,33276,89,75527
KR_7354352948,blue,150,194342,154,417245,777,166111,202,230732,111,197788,893,29592,120,4194841,103,59094,22,143825,12,14739
KR_7354301398,blue,24,7067,113,95459,517,207392,81,455522,89,304890,79,15884,141,291268,84,235782,42,93439,147,198507
KR_7354266179,blue,24,36985,76,342522,42,244137,81,58064,201,139011,897,11385,203,121758,517,207392,110,127127,89,77496
KR_7354172763,blue,897,292040,120,4194841,145,189671,910,12649,78,21487,150,23988,203,67808,517,207392,523,401064,44,502198
KR_7354132942,blue,897,28351,64,606458,3,31386,110,211513,518,23828,68,170376,234,150767,517,122919,202,401723,777,231824
KR_7353922584,red,85,150706,104,102312,61,49330,51,228836,99,38665,19,1117915,64,175766,517,207392,901,802979,68,19919
KR_7385052613,red,897,298170,143,697466,18,39537,51,150912,111,436560,901,18727,76,48307,127,37922,22,5641,555,272885
KR_7384983109,blue,58,701515,64,832174,84,99670,115,10682,526,402275,57,6954,104,156108,163,35640,22,74023,432,742064
KR_7384928897,red,799,2399,121,20311,517,374734,51,152573,99,10010,57,61119,254,27541,4,932128,42,30461,53,132032
KR_7384899172,red,24,46807,72,27634,50,5267,901,20616,147,28691,150,144722,203,406103,517,186982,429,206900,518,8454
KR_7384783118,blue,517,347221,131,174861,157,9651,22,55316,89,330537,150,331609,143,92042,126,129407,202,203137,526,240101
KR_7384491346,red,799,78662,62,5197,163,35640,147,20572,222,20277,79,10456,104,169735,268,57395,202,97151,78,70783
KR_7384375107,blue,150,143902,131,34752,777,604038,81,599247,111,56932,77,1222940,104,77691,58,44319,22,55316,888,1248568
KR_7384305233,blue,150,32886,234,810581,84,77416,69,1982467,89,75527,897,148125,60,45336,777,154621,51,52952,555,85796
KR_7384004042,red,266,96508,234,85173,8,6513327,42,69893,3,6138,77,1222940,427,760083,901,22144,22,63700,12,258396
KR_7383946188,red,24,240868,234,143300,3,8386,22,104155,44,41447,79,9033,254,22576,517,91783,42,69893,888,64566
KR_7383851736,red,58,88351,143,92042,777,185656,22,22823,201,61614,799,48706,254,22576,103,14907,42,69893,526,397846
KR_7379706854,red,57,7376,104,65089,103,14907,202,15242,78,27229,887,220616,203,22081,517,592067,22,198610,89,204690
KR_7379211575,red,799,52916,517,117195,223,3217805,42,19279,432,5003,58,61162,234,49159,112,51392,115,51034,12,168090
KR_7379132572,blue,57,8677,30,40992,777,55701,21,74456,78,40072,223,3217805,154,8952,901,22144,429,199909,888,144493
KR_7379084858,blue,78,13009,104,463750,103,14907,22,22823,526,228904,799,3692,131,461136,126,45015,222,21600,12,40124
KR_7378988166,red,164,457451,163,71456,555,1645748,222,62922,12,289018,150,346663,104,156108,517,91783,22,79846,526,131850
KR_7378856489,red,61,1389920,64,606458,893,27370,18,23121,12,289018,69,6606,104,72515,3,21714,42,38013,78,70145
KR_7377387708,red,57,11345,60,1142700,18,39537,51,24790,201,233816,68,52667,234,389506,103,59094,22,180219,497,51008
KR_7377360675,blue,157,29823,143,92042,777,133900,51,129892,518,21603,893,9974,64,301851,268,143653,42,118387,111,221309
KR_7377343187,blue,777,185656,104,197648,517,91783,42,44649,111,365576,68,1054,203,406103,126,53857,22,61259,201,34716
KR_7377181344,blue,39,105922,104,112117,84,77416,21,74456,89,88970,79,25344,143,503966,777,231824,202,364627,98,74400
KR_7376944389,blue,79,12123,143,16685,157,14195,81,54013,518,37945,266,3470703,64,832174,84,77416,51,30784,201,36529
KR_7376797538,blue,897,292040,203,7694,61,49330,202,285062,57,434117,24,415783,104,112117,103,182342,42,93439,526,397846
KR_7376717840,red,897,285655,76,171176,81,71443,222,238471,201,66938,150,185823,254,180252,103,14907,42,125809,555,272885
KR_7376646286,red,150,144722,876,171692,18,39537,42,58478,89,16605,41,131718,72,45032,163,248610,222,156555,111,141422
KR_7374708349,blue,150,57929,143,21331,777,382815,22,61259,53,107630,13,64728,72,58775,84,77416,222,195499,147,23815
KR_7374481889,blue,897,36171,76,171176,126,371054,42,114383,517,186982,58,67898,876,11100,555,1645748,145,50810,80,23392
KR_7374452344,red,897,84648,76,193582,23,37892,42,38013,526,201828,893,74729,104,100559,163,35640,202,285062,12,152773
KR_7374419002,blue,897,322782,64,34962,517,91783,51,152573,89,109391,150,62978,234,132395,85,31566,115,34107,526,248744
KR_7374364867,blue,150,331609,72,73599,42,25700,22,178434,161,9733,78,3345893,143,86043,157,99831,145,720308,526,452052
KR_7374260647,blue,126,53857,104,351596,517,91783,22,178434,78,246897,893,70840,234,627479,3,113332,202,67235,43,270647
KR_7367303655,blue,8,6513327,30,12106,18,39537,22,44292,526,268498,80,576194,143,86043,777,55701,222,186881,89,20656
KR_7367297079,blue,150,102879,163,140813,18,39537,22,128147,201,23262,517,4858,5,16533,61,200371,202,3981286,432,120818
KR_7367266822,blue,79,2489,36,15730,163,35640,51,161161,432,120818,42,16720,421,188727,910,22250,21,14996,99,22900
KR_7367250049,red,799,26614,163,353187,157,99831,81,71443,555,239199,164,457451,76,48307,18,39537,115,9597,58,193898
KR_7367193087,blue,50,25939,104,197648,7,343169,202,207508,555,190152,150,55013,17,363,163,197252,42,60480,111,85245
KR_7367104922,red,57,54014,234,102770,163,35640,96,44955,111,197788,893,99831,104,197648,103,65851,110,49731,89,126252
KR_7367037849,red,799,8814,72,7099,61,69184,145,250406,53,40245,79,25073,203,406103,163,35640,18,74111,78,73376
KR_7366206587,blue,24,252677,104,575008,517,592067,42,118387,78,8842,150,188314,203,310109,163,35640,96,30035,12,317112
KR_7365944461,red,777,24172,234,39507,517,160543,202,48500,111,324328,164,457451,104,78717,893,59241,18,78079,89,108433
KR_7365928487,blue,150,16258,64,832174,4,70745,42,48468,53,40245,799,30889,203,20527,50,5267,96,16828,111,43691
KR_7365902071,red,893,74729,24,21505,18,39537,42,118387,526,46451,150,309933,5,257280,134,292812,119,49650,517,203728
KR_7365878250,blue,897,484751,64,559003,3,23806,202,18825,111,221309,110,9519,62,5197,7,4825,145,115707,12,95448
KR_7365812660,red,893,13233,56,107953,61,49330,22,55384,201,93960,517,110704,104,105154,3,49696,202,56144,497,352290
KR_7365772158,blue,68,186451,234,102770,901,22144,145,33043,497,356396,517,110704,64,621897,77,91799,498,32161,111,85245
KR_7364947151,blue,8,43863,121,38524,163,35640,42,4826,89,188075,23,244610,104,303318,893,46841,22,55384,201,93960
KR_7364657125,blue,24,205504,60,88981,777,205275,110,67317,888,4760,50,315209,234,33568,79,1091,901,27135,902,8366
KR_7364565471,blue,23,244610,104,105154,50,5267,523,379817,412,28749,54,34926,131,39334,246,77933,42,118387,72,35819
KR_7364504581,blue,39,15930,76,43560,12,22119,42,118387,777,269753,516,2285,104,182533,84,77416,51,22522,99,1796973
KR_7364461110,blue,79,23718,104,115895,163,35640,145,115707,53,99096,24,199038,203,310109,893,31969,42,63959,201,456
KR_7364393790,red,84,23500,72,29914,799,3293,42,57213,12,485585,23,4367,234,395496,910,137518,202,90306,43,57043
KR_7364300776,red,23,244610,234,277316,157,168521,910,16952,555,239199,799,3293,143,34032,58,77066,18,115375,526,232555
KR_7363519573,blue,8,1532669,234,39507,163,35640,22,81897,201,4692,39,319511,64,109380,526,13283,18,86755,50,4406
KR_7363496902,blue,8,6513327,111,111021,18,39537,42,70632,876,212630,79,20875,104,159244,517,38080,221,166894,89,126252
KR_7363478408,red,150,136644,72,27634,61,31906,42,114383,57,64749,893,101315,143,32194,18,39537,202,98054,12,95448
KR_7363456507,blue,77,91799,254,130419,163,35640,523,23964,72,85377,150,143053,143,102466,42,125810,429,131952,518,555063
KR_7363431428,blue,517,17790,64,138264,50,5267,110,49731,526,9469,39,144441,203,175490,893,79533,22,49462,12,97531
KR_7363365586,blue,114,1176,234,48159,893,41355,202,276229,111,588489,777,117760,72,24834,517,160543,163,217648,89,126252
KR_7363329305,red,68,8501,143,74074,18,134294,42,62994,89,8969,58,131605,104,182533,134,39243,51,110671,201,157898
KR_7363279011,red,897,12338,56,34723,517,36925,42,118387,526,256048,421,734853,143,102466,777,201397,498,123460,12,274329
KR_7363209801,blue,897,28351,64,832174,517,51327,110,100689,53,107459,164,458982,43,4282,3,21714,202,303940,234,115258
KR_7363110821,blue,58,131605,60,57249,91,196345,202,10076,89,150923,126,333939,234,1380887,893,79533,42,95697,111,4399
KR_7363052838,red,56,2464185,203,406103,893,31969,96,17381,43,22474,799,3293,72,82474,84,26889,15,3197,555,190152
KR_7362995123,blue,23,244610,154,2595033,50,5267,110,49731,201,61614,79,73553,72,24834,777,231824,145,27864,3,8759
KR_7362670834,red,799,9427,72,73599,18,39537,96,5475,526,180852,126,47807,234,143300,50,315209,115,48656,555,129247
KR_7362642105,blue,68,9896,131,21272,157,251675,202,97969,497,11514,266,1080080,234,150767,799,3745,145,379033,526,4887
KR_7362612433,red,24,310614,72,73599,61,32403,221,167282,497,23854,79,36942,234,239352,3,21714,110,239954,201,17687
KR_7362571072,red,6,79485,111,8721,103,182162,145,811493,62,94069,68,196240,64,559003,163,35640,498,96251,497,262881
KR_7359658407,blue,150,56097,5,26601,61,1389920,110,44102,518,35017,517,34747,64,14617,7,86536,429,165175,888,8313
KR_7359583286,red,150,453868,72,73599,131,34752,157,168521,497,106407,77,276510,104,159244,517,62335,202,323339,12,7250
KR_7359535373,blue,68,212796,60,20730,777,139798,15,6606,3,14414,150,136644,203,198117,84,77416,96,44955,12,11375
KR_7359484909,red,54,3718,254,27541,84,62323,42,118387,57,33730,24,36442,121,38524,4,70745,81,152287,78,246897
KR_7359438344,blue,897,165817,234,277316,777,55701,96,1018,78,246897,3,101252,121,38524,84,77416,51,47757,99,15023
KR_7359385157,blue,8,149390,203,198117,518,2423,81,458476,3,113332,266,22684,64,83492,84,77416,145,144482,497,47651
KR_7358965328,red,164,262981,56,4496,517,90489,22,40074,147,39494,24,131871,64,170802,84,77416,110,34177,888,56423
KR_7358928551,blue,893,33738,64,279235,84,77416,42,118387,888,89737,39,929006,254,27619,126,21048,145,379033,50,315209
KR_7358879652,blue,13,231776,104,498195,7,86536,429,318748,518,35017,84,595608,234,126305,79,4899193,81,451259,43,142582
KR_7358811052,blue,36,34435,104,197648,142,377730,81,5308891,432,1075826,79,497678,427,760083,16,1114,42,11840,350,21460
KR_7358688369,red,893,41355,234,580106,3,21714,202,186823,89,245311,897,153605,104,115895,13,37061,81,421624,53,61113
KR_7358582076,blue,79,47401,254,27541,13,95825,81,318492,526,191101,36,34435,72,24834,517,20912,42,44157,111,43691
KR_7358492987,blue,23,244610,234,115258,268,20287,42,118387,78,97452,897,298170,62,44245,61,49330,110,211513,497,157909
KR_7358400332,blue,68,230100,254,76153,42,25700,22,252889,555,190152,23,244610,72,24834,517,334458,110,240610,53,42439
KR_7358324861,blue,92,618986,203,310109,84,77416,115,138582,526,171595,24,237490,143,74074,777,139798,222,9600,78,107503
KR_7358238553,blue,150,25139,234,91501,893,99831,14,291303,235,83118,39,144441,104,105774,3,21714,145,22055,555,1645748
KR_7358173129,blue,799,17818,72,43402,61,49330,429,35255,888,55715,266,369200,64,35018,50,315209,110,204328,412,125800
KR_7358126079,red,799,6935,234,49159,136,352401,202,32009,53,13887,24,77887,76,52299,157,602636,96,11671,432,1226893
KR_7358049567,blue,58,212053,104,498195,910,83800,145,413381,526,256048,150,54131,163,3493,42,25700,96,34935,89,80818
KR_7357992975,blue,68,230100,120,4194841,42,25700,22,78919,12,485585,799,8814,200,215220,893,28471,51,170011,99,1796973
KR_7357929278,red,79,23718,104,194921,777,206525,96,6000,526,452052,58,14820,72,73599,42,25700,115,36260,53,229598
KR_7357887311,blue,79,23718,76,118123,42,25700,51,202255,201,61614,799,50767,72,75413,13,14123,145,46865,497,340093
KR_7357854039,red,897,342834,876,152774,42,25700,18,231403,497,148458,50,57064,72,75413,901,34467,202,123236,78,70145
KR_7357821314,blue,893,69482,72,82474,42,25700,145,87192,111,3739,36,76217,254,76153,103,45833,81,522661,89,52691
KR_7357781376,red,58,328372,76,129769,777,269753,145,27965,57,59034,92,722052,254,27541,517,62335,910,97815,555,249142
KR_7357759384,blue,79,497678,72,73599,103,59094,21,69589,78,246897,133,2336439,104,369427,61,49330,81,25278,526,228904
KR_7357707356,blue,150,136644,131,276997,42,54493,202,206308,57,4522,517,91783,64,221597,163,65491,22,143825,78,52209
KR_7357565414,red,8,6513327,64,72488,92,722052,523,13743,117,33347,13,64728,104,178151,42,25700,22,81897,3,19907
KR_7357554568,red,8,6513327,60,82788,18,39537,202,87024,80,2834,24,191503,143,74074,29,505769,22,81897,12,49153
KR_7357523752,blue,114,2873184,143,74074,68,196240,145,351777,497,62679,150,171838,254,127781,61,49330,202,75108,432,2449539
KR_7357510848,red,68,212796,254,8240,517,91783,81,47744,43,71761,85,167267,104,507755,3,133403,429,48082,888,252372
KR_7357500558,blue,114,2873184,141,40152,517,107954,42,135327,432,20000,24,250328,143,74074,910,970,523,440949,78,9350
KR_7376065997,blue,266,96508,234,143300,3,21391,145,379033,78,246897,150,25256,76,1105912,777,139798,81,25278,526,63160
KR_7375421847,blue,68,25370,104,112117,50,315209,42,44649,117,193981,86,336584,234,195427,163,248610,202,12035,526,103090
KR_7375334226,red,150,121289,102,21768,136,78744,42,107372,497,113177,893,121890,143,34032,777,71603,222,238471,78,70145
KR_7373177779,blue,69,497329,72,27634,517,800995,110,193199,526,80823,5,436832,64,170802,893,2616,42,118387,12,162322
KR_7372635982,red,799,78662,30,21430,777,8250,51,61777,89,395,897,271124,72,27634,517,74859,202,203799,526,285659
KR_7372330875,blue,150,437343,234,217738,163,353187,101,166460,12,289018,24,250328,59,31011,893,114975,42,54198,111,56416
KR_7371837401,red,68,78403,91,277613,893,35413,42,20966,53,42439,897,292040,104,115895,134,5980,51,201333,526,352898
KR_7370509413,blue,85,150706,234,34183,901,28078,221,350643,53,47998,164,458982,76,1198,3,11288,202,276229,111,436560
KR_7370476559,red,164,458982,254,21035,103,118692,111,84395,145,436252,92,250357,64,109380,517,800995,115,19782,78,33268
KR_7370431185,blue,24,46807,64,832174,517,447324,21,74456,53,102027,84,595608,76,17631,555,1645748,51,45682,99,21429
KR_7370349304,red,57,434117,234,413891,893,35413,222,192041,26,2422315,164,458982,163,217648,777,382815,202,276229,89,143407
KR_7370234135,blue,150,20990,163,10003,42,40050,523,84455,12,161501,517,171689,143,102466,157,251675,222,140069,526,191101
KR_7370114568,blue,164,458982,234,490503,61,133895,523,200003,412,28749,36,76217,104,70906,910,65016,895,28143,526,223562
KR_7369947850,red,887,66473,91,277613,50,315209,202,21791,497,252880,8,43863,104,178151,157,251675,145,436252,555,193714
KR_7369856577,blue,897,186714,60,35399,42,40050,21,172055,147,24563,68,26204,104,182002,157,251675,51,117502,201,36529
KR_7369621898,red,154,2210885,234,34183,103,39203,42,75619,89,36692,897,271124,104,158422,517,207392,202,71384,526,273554
KR_7369506252,blue,897,165817,104,197648,50,315209,51,23915,111,29497,154,2210885,200,249352,518,2413992,21,59876,526,254661
KR_7369414210,red,106,774723,203,188191,3,19844,96,16390,89,103079,799,36777,72,58775,910,97815,22,81897,497,113177
KR_7369342606,blue,19,1117915,72,58775,517,693419,22,15038,223,63496,77,1222940,254,8575,163,353187,202,48500,526,352898
KR_7368789972,red,84,595608,72,305769,901,26901,110,78942,111,221309,126,6728,234,395496,517,800995,42,114383,888,89737
KR_7368784332,red,58,193898,60,39962,246,9673,202,83081,555,232670,114,537807,91,590727,3,23908,42,114383,50,315209
KR_7368697464,blue,150,121289,36,15730,910,9029,42,114383,53,113058,126,905505,72,27634,134,70838,81,57608,526,52744
