match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
KR_7373525263,red,58,224449,76,53876,777,194317,22,68312,526,384727,48,44786,121,22286,893,1467,51,110671,555,148505
KR_7369807530,blue,893,73139,143,38385,246,565410,42,46303,412,20319,79,6690,234,309765,127,2567809,221,59922,117,400307
EUW1_7177695680,blue,67,48165,32,21988,777,101945,81,780780,99,2986442,114,899928,104,12846,711,149234,42,112097,555,170992
KR_7363582400,blue,150,102879,143,74074,166,705066,134,18994,50,6805,133,646820,234,31949,3,11835,119,2049904,555,30903
KR_7354768177,blue,92,1131645,104,61406,103,53216,42,107143,888,38914,77,971262,62,1696,147,1473769,51,214963,526,160267
EUW1_7201960320,blue,126,84522,876,438901,893,26825,498,127038,497,298255,39,1377542,254,143951,42,51324,145,433367,432,122171
NA1_5151470599,red,150,49790,121,120014,105,706835,42,17868,267,1648917,92,2048816,79,7335,246,674992,110,34329,57,19469
NA1_5123770582,red,266,51055,62,14902,112,82828,145,230767,111,223261,85,82302,104,36118,103,198612,81,340584,147,92721
NA1_5160862607,blue,58,102628,9,2276270,91,4139796,143,223380,53,14914,78,754173,5,514619,103,435236,110,9394926,43,601232
NA1_5130663875,blue,126,352492,72,44472,777,45083,96,156724,235,199124,86,3579072,134,9490,200,2134395,30,899571,526,214543
NA1_5145003708,blue,24,1235724,203,81292,68,1421623,42,108198,555,63506,58,170002,234,114594,901,33864,50,2980501,235,1180
EUW1_7206959666,red,893,75088,254,155876,61,395468,429,7880,111,673181,91,639308,77,5122300,163,196647,81,66334,57,111420
EUW1_7212473964,blue,92,15576,234,184555,103,301434,42,39161,267,454107,799,72387,56,49163,134,149381,517,903579,497,330020
NA1_5160847737,red,887,588108,143,5273850,64,88664,42,92088,111,267922,67,73313,104,357535,142,1682275,910,252088,43,208507
KR_7356478699,red,80,2362459,60,20730,799,6700,22,68041,53,229598,24,175218,203,68171,163,138129,429,131952,888,42535
KR_7367435848,blue,79,114531,76,79333,777,529362,18,82189,111,5730,114,185930,143,97197,157,2113842,29,118366,117,37138
KR_7352396429,blue,893,102568,234,243851,517,194752,145,998769,526,460252,154,328738,76,394732,42,116026,222,196302,412,30970
EUW1_7211262935,blue,92,343586,77,5122300,38,1502391,360,319243,50,119730,777,214157,113,523817,72,5363,910,45163,201,17913
NA1_5143304685,blue,31,687474,5,217554,157,2642115,523,108671,117,1306492,114,20065,30,72610,84,484257,498,427435,89,40859
NA1_5119749642,red,98,3657,42,19664,141,1067436,222,286829,412,149119,24,271025,64,106230,127,33569,145,53429,902,143850
KR_7355927624,blue,897,99182,30,66272,166,1442450,202,4064,518,23163,122,8483,234,57318,101,343619,523,24885,412,736335
KR_7367757347,red,24,15511,60,117502,777,269753,22,324514,53,5395,234,277316,150,37275,42,57035,96,52122,526,39771
NA1_5137237573,red,887,142833,131,22102,39,130611,202,174137,101,173728,777,203212,106,445851,84,55434,22,35947,12,3230
EUW1_7191935805,red,24,152963,77,5126504,39,191579,222,170626,497,470375,79,182032,59,113782,517,236988,119,267172,555,991443
NA1_5144404920,blue,24,101524,104,672752,910,107353,51,160469,57,435731,86,276173,131,418221,893,42455,18,282930,555,73265
NA1_5151453926,red,164,77334,254,108560,99,65868,145,376314,267,1651972,106,210131,5,217554,103,97660,22,116487,40,161461
NA1_5155822887,red,82,336973,60,10086,777,126043,22,23083,235,219367,19,470603,121,13850,84,292861,51,50358,25,7016
NA1_5161761607,blue,62,683315,200,152213,103,3747278,119,567722,111,161432,126,689802,33,2129,42,18391,143,5277474,201,141982
NA1_5149412448,red,122,1177408,104,787535,7,189805,236,90539,267,405928,86,2216892,799,4721,711,9885,51,41213,888,171975
EUW1_7208472809,blue,58,0,163,0,777,0,42,27903,526,83082,74,2302445,799,45895,517,111382,119,3486,12,504217
KR_7373337152,blue,799,52203,104,156108,268,156482,51,568357,12,55313,24,70957,143,3032,157,324270,42,38000,111,226080
